year,race,sex,age_group,population
2011,Black,Female,80+,133095
2011,Brown,Male,0-4,3163045
2011,Brown,Male,5-9,3704487
2011,Brown,Male,10-14,4286665
2011,Brown,Male,15-19,4098505
2011,Brown,Male,20-24,3931080
2011,Brown,Male,25-29,3696923
2011,Brown,Male,30-34,3354960
2011,Brown,Male,35-39,2956117
2011,Brown,Male,40-44,2700701
2011,Brown,Male,45-49,2306904
2011,Brown,Male,50-54,1913870
2011,Brown,Male,55-59,1517078
2011,Brown,Male,60-64,1167868
2011,Brown,Male,65-69,852009
2011,Brown,Male,70-74,619063
2011,Brown,Male,75-79,385946
2011,Brown,Male,80+,397232
2011,Brown,Female,0-4,3019091
2011,Brown,Female,5-9,3521564
2011,Brown,Female,10-14,4115648
2011,Brown,Female,15-19,3960008
2011,Brown,Female,20-24,3841498
2011,Brown,Female,25-29,3732560
2011,Brown,Female,30-34,3463770
2011,Brown,Female,35-39,3064173
2011,Brown,Female,40-44,2795481
2011,Brown,Female,45-49,2440125
2011,Brown,Female,50-54,2062910
2011,Brown,Female,55-59,1671561
2011,Brown,Female,60-64,1293634
2011,Brown,Female,65-69,960298
2011,Brown,Female,70-74,722316
2011,Brown,Female,75-79,472433
2011,Brown,Female,80+,546090
2011,Yellow,Male,0-4,54384
2011,Yellow,Male,5-9,62569
2011,Yellow,Male,10-14,68806
2011,Yellow,Male,15-19,69403
2011,Yellow,Male,20-24,77049
2011,Yellow,Male,25-29,78558
2011,Yellow,Male,30-34,72466
2011,Yellow,Male,35-39,62452
2011,Yellow,Male,40-44,58139
2011,Yellow,Male,45-49,52661
2011,Yellow,Male,50-54,46076
2011,Yellow,Male,55-59,41626
2011,Yellow,Male,60-64,37477
2011,Yellow,Male,65-69,30435
2011,Yellow,Male,70-74,25104
2011,Yellow,Male,75-79,16151
2011,Yellow,Male,80+,16901
2011,Yellow,Female,0-4,51344
2011,Yellow,Female,5-9,60447
2011,Yellow,Female,10-14,72409
2011,Yellow,Female,15-19,85390
2011,Yellow,Female,20-24,98600
2011,Yellow,Female,25-29,100249
2011,Yellow,Female,30-34,90632
2011,Yellow,Female,35-39,77409
2011,Yellow,Female,40-44,71100
2011,Yellow,Female,45-49,63149
2011,Yellow,Female,50-54,54155
2011,Yellow,Female,55-59,48908
2011,Yellow,Female,60-64,43568
2011,Yellow,Female,65-69,35569
2011,Yellow,Female,70-74,28964
2011,Yellow,Female,75-79,19978
2011,Yellow,Female,80+,23983
2011,Indigenous,Male,0-4,52255
2011,Indigenous,Male,5-9,51563
2011,Indigenous,Male,10-14,48881
2011,Indigenous,Male,15-19,42635
